tanggal,Produk,penjualan
2024-04-10,Americano / ICE,2
2024-04-10,Hazelnut Coffee / ICE,1
2024-04-10,Kopi Aren / ICE,2
2024-04-10,Matcha Coffee / ICE,1
2024-04-11,Capuccino / ICE,2
2024-04-11,Kopi Aren / HOT,1
2024-04-11,Kopi Aren / ICE,2
2024-04-11,Salted Caramel Machiato / ICE,3
2024-04-12,Americano / ICE,2
2024-04-12,Butterscotch Coffee / ICE,2
2024-04-12,Hazelnut Coffee / ICE,3
2024-04-12,Kopi Aren / ICE,3
2024-04-12,Salted Caramel Machiato / HOT,1
2024-04-13,Americano / ICE,4
2024-04-13,Kopi Aren / HOT,1
2024-04-13,Kopi Aren / ICE,5
2024-04-14,Americano / HOT,1
2024-04-14,Butterscotch Coffee / ICE,1
2024-04-14,Capuccino / ICE,1
2024-04-14,Hazelnut Coffee / ICE,1
2024-04-14,Kopi Aren / HOT,1
2024-04-14,Kopi Aren / ICE,4
2024-04-15,Americano / ICE,2
2024-04-15,Capuccino / ICE,1
2024-04-15,Kopi Aren / ICE,6
2024-04-15,Rum Coffee / ICE,1
2024-04-16,Americano / HOT,2
2024-04-16,Americano / ICE,2
2024-04-16,Capuccino / HOT,2
2024-04-16,Capuccino / ICE,1
2024-04-16,Hazelnut Coffee / ICE,1
2024-04-16,Kopi Aren / ICE,1
2024-04-16,Signature Coffee / ICE,1
2024-04-17,Americano / ICE,2
2024-04-17,Capuccino / ICE,2
2024-04-17,Kopi Aren / HOT,2
2024-04-17,Kopi Aren / ICE,6
2024-04-18,Americano / ICE,4
2024-04-18,Capuccino / ICE,1
2024-04-18,Kopi Aren / ICE,2
2024-04-18,Kopi Pandan / ICE,1
2024-04-19,Americano / ICE,1
2024-04-19,Capuccino / ICE,1
2024-04-19,Hazelnut Coffee / ICE,1
2024-04-19,Kopi Aren / ICE,4
2024-04-19,Kopi Pandan / ICE,2
2024-04-19,Salted Caramel Machiato / ICE,1
2024-04-20,Kopi Aren / ICE,4
2024-04-20,Kopi Pandan / ICE,1
2024-04-20,Longblack / HOT,1
2024-04-20,Mocha / ICE,3
2024-04-20,Rum Coffee / ICE,2
2024-04-20,Salted Caramel Machiato / ICE,1
2024-04-21,Americano / ICE,3
