tanggal,Produk,penjualan
2024-04-10,Americano,2
2024-04-10,Capuccino,5
2024-04-10,Kopi Aren,2
2024-04-11,Americano,2
2024-04-11,Hazelnut Coffee,1
2024-04-11,Kopi Aren,1
2024-04-12,Americano,2
2024-04-12,Butterscotch Coffee,1
2024-04-12,Capuccino,1
2024-04-12,Espresso,1
2024-04-12,Hazelnut Coffee,1
2024-04-12,Kopi Aren,2
2024-04-13,Americano,2
2024-04-13,Butterscotch Coffee,2
2024-04-13,Espresso,1
2024-04-13,Hazelnut Coffee,1
2024-04-13,Kopi Aren,2
2024-04-13,Rum Coffee,1
2024-04-13,Signature Coffee,1
2024-04-14,Americano,2
2024-04-14,Hazelnut Coffee,4
2024-04-14,Kopi Aren,6
2024-04-14,Matcha Coffee,1
2024-04-15,Americano,5
2024-04-15,Hazelnut Coffee,1
2024-04-15,Kopi Aren,5
2024-04-15,Rum Coffee,2
2024-04-16,Americano,2
2024-04-16,Hazelnut Coffee,3
2024-04-16,Kopi Aren,7
2024-04-16,Rum Coffee,1
2024-04-17,Americano,2
2024-04-17,Butterscotch Coffee,2
2024-04-17,Capuccino,1
2024-04-17,Hazelnut Coffee,2
2024-04-17,Kopi Aren,5
2024-04-18,Americano,2
2024-04-18,Capuccino,1
2024-04-18,Kopi Aren,7
2024-04-19,Americano,4
2024-04-19,Butterscotch Coffee,2
2024-04-19,Capuccino,1
2024-04-19,Hazelnut Coffee,5
2024-04-19,Kopi Aren,8
2024-04-19,Rum Coffee,1
2024-04-19,Signature Coffee,1
2024-04-20,Avocado Coffee,1
2024-04-20,Butterscotch Coffee,2
2024-04-20,Capuccino,1
2024-04-20,Hazelnut Coffee,1
2024-04-20,Kopi Aren,7
2024-04-20,Matcha Coffee,1
2024-04-20,Rum Coffee,1
2024-04-20,Signature Coffee,1
2024-04-21,Americano,2
2024-04-21,Capuccino,7
2024-04-21,Kopi Aren,4
2024-04-22,Americano,1
2024-04-22,Butterscotch Coffee,1
2024-04-22,Capuccino,5
2024-04-22,Kopi Aren,6
2024-04-22,Signature Coffee,1
2024-04-23,Americano,2
2024-04-23,Espresso,4
2024-04-24,Americano,2
2024-04-24,Butterscotch Coffee,1
2024-04-24,Capuccino,1
2024-04-24,Hazelnut Coffee,1
2024-04-24,Kopi Aren,5
2024-04-25,Americano,1
2024-04-25,Capuccino,3
2024-04-25,Kopi Aren,4
2024-04-25,Kopi Pandan,1
2024-04-25,Signature Coffee,1
2024-04-26,Americano,2
2024-04-26,Butterscotch Coffee,1
2024-04-26,Capuccino,2
2024-04-26,Kopi Aren,6
2024-04-26,Signature Coffee,1
2024-04-27,Americano,6
2024-04-27,Butterscotch Coffee,1
2024-04-27,Hazelnut Coffee,2
2024-04-27,Kopi Aren,4
2024-04-28,Americano,7
2024-04-28,Butterscotch Coffee,1
2024-04-28,Capuccino,2
2024-04-28,Hazelnut Coffee,2
2024-04-28,Kopi Aren,5
2024-04-28,Kopi Pandan,1
2024-04-28,Matcha Coffee,2
2024-04-29,Americano,2
2024-04-29,Butterscotch Coffee,3
2024-04-29,Espresso,1
2024-04-29,Hazelnut Coffee,1
2024-04-29,Kopi Aren,6
2024-04-30,Americano,1
2024-04-30,Capuccino,1
2024-04-30,Kopi Aren,7
2024-04-30,Rum Coffee,1
2024-04-30,Signature Coffee,1
2024-05-01,Americano,1
2024-05-01,Avocado Coffee,1
2024-05-01,Capuccino,2
2024-05-01,Hazelnut Coffee,5
2024-05-01,Kopi Aren,2
2024-05-01,Signature Coffee,1
2024-05-02,Americano,4
2024-05-02,Capuccino,2
2024-05-02,Kopi Aren,5
2024-05-02,Kopi Pandan,1
2024-05-02,Rum Coffee,1
2024-05-03,Americano,3
2024-05-03,Avocado Coffee,1
2024-05-03,Butterscotch Coffee,2
2024-05-03,Capuccino,2
2024-05-03,Hazelnut Coffee,4
2024-05-03,Kopi Aren,5
2024-05-03,Matcha Coffee,1
2024-05-03,Rum Coffee,2
2024-05-03,Signature Coffee,1
2024-05-04,Americano,4
2024-05-04,Butterscotch Coffee,1
2024-05-04,Capuccino,3
2024-05-04,Espresso,1
2024-05-04,Hazelnut Coffee,3
2024-05-04,Kopi Aren,13
2024-05-05,Americano,2
2024-05-05,Avocado Coffee,2
2024-05-05,Butterscotch Coffee,1
2024-05-05,Capuccino,1
2024-05-05,Kopi Aren,8
2024-05-05,Matcha Coffee,1
2024-05-06,Americano,1
2024-05-06,Avocado Coffee,1
2024-05-06,Capuccino,3
2024-05-06,Kopi Aren,4
2024-05-06,Matcha Coffee,1
2024-05-07,Americano,1
2024-05-07,Avocado Coffee,1
2024-05-07,Capuccino,3
2024-05-07,Hazelnut Coffee,3
2024-05-07,Kopi Aren,7
2024-05-07,Signature Coffee,2
